Date,Country,Application Type,Applications Received
5/11/2020,South Africa,SMS,974866
5/11/2020,South Africa,Website,43511
5/11/2020,South Africa,WhatsApp,0
5/11/2020,South Africa,Emails,500000
5/12/2020,South Africa,SMS,929925
5/12/2020,South Africa,Website,65894
5/12/2020,South Africa,WhatsApp,0
5/12/2020,South Africa,Emails,0
5/13/2020,South Africa,SMS,212291
5/13/2020,South Africa,Website,58674
5/13/2020,South Africa,WhatsApp,195967
5/13/2020,South Africa,Emails,0
5/14/2020,South Africa,SMS,277867
5/14/2020,South Africa,Website,36355
5/14/2020,South Africa,WhatsApp,289690
5/14/2020,South Africa,Emails,0
